Lambda,Epoch,Cls_Loss,Transfer_Loss,Total_Loss,Accuracy
0.5,0,3.4325376987457275,0.1656368096669515,3.515356111526489,"tensor(0.0562, device='cuda:0', dtype=torch.float64)"
0.5,1,3.420779895782471,0.16309585571289062,3.502327807744344,"tensor(0.0442, device='cuda:0', dtype=torch.float64)"
0.5,2,3.4020844300587973,0.16328477064768473,3.4837268193562827,"tensor(0.1084, device='cuda:0', dtype=torch.float64)"
0.5,3,3.3831828276316327,0.16377913157145182,3.4650723934173584,"tensor(0.1526, device='cuda:0', dtype=torch.float64)"
0.5,4,3.361686436335246,0.1625540018081665,3.4429634253184003,"tensor(0.2209, device='cuda:0', dtype=torch.float64)"
0.5,5,3.3401723861694337,0.16251529852549235,3.4214300473531085,"tensor(0.3012, device='cuda:0', dtype=torch.float64)"
0.5,6,3.308520491917928,0.16242109934488932,3.3897310415903728,"tensor(0.2791, device='cuda:0', dtype=torch.float64)"
0.5,7,3.2916966597239177,0.16146365801493326,3.3724284807840985,"tensor(0.2651, device='cuda:0', dtype=torch.float64)"
0.5,8,3.231937376658122,0.16458083788553873,3.314227803548177,"tensor(0.3474, device='cuda:0', dtype=torch.float64)"
0.5,9,3.2280708471934,0.1641724665959676,3.310157060623169,"tensor(0.4157, device='cuda:0', dtype=torch.float64)"
0.5,10,3.164151191711426,0.16335797309875488,3.2458301544189454,"tensor(0.3635, device='cuda:0', dtype=torch.float64)"
0.5,11,3.142547289530436,0.16277511914571127,3.223934857050578,"tensor(0.3454, device='cuda:0', dtype=torch.float64)"
0.5,12,3.124111461639404,0.16128823757171631,3.2047555923461912,"tensor(0.4177, device='cuda:0', dtype=torch.float64)"
0.5,13,3.0796528975168864,0.16261030832926432,3.1609580357869467,"tensor(0.3976, device='cuda:0', dtype=torch.float64)"
0.5,14,3.012162764867147,0.16214931805928548,3.0932374000549316,"tensor(0.4779, device='cuda:0', dtype=torch.float64)"
0.5,15,2.9472810586293536,0.16379364331563315,3.0291778882344564,"tensor(0.4418, device='cuda:0', dtype=torch.float64)"
0.5,16,2.90267063776652,0.16275184949239094,2.9840465545654298,"tensor(0.4920, device='cuda:0', dtype=torch.float64)"
0.5,17,2.841664028167725,0.16078337033589682,2.922055705388387,"tensor(0.4900, device='cuda:0', dtype=torch.float64)"
0.5,18,2.7592695713043214,0.16255033016204834,2.8405447324117024,"tensor(0.5040, device='cuda:0', dtype=torch.float64)"
0.5,19,2.674570576349894,0.16473318735758463,2.7569371700286864,"tensor(0.5100, device='cuda:0', dtype=torch.float64)"
0.5,20,2.675955613454183,0.1625308911005656,2.757221062978109,"tensor(0.5422, device='cuda:0', dtype=torch.float64)"
0.5,21,2.5759579022725423,0.16423137982686362,2.658073616027832,"tensor(0.5402, device='cuda:0', dtype=torch.float64)"
0.5,22,2.483382479349772,0.16162636280059814,2.564195664723714,"tensor(0.5663, device='cuda:0', dtype=torch.float64)"
