Lambda,Epoch,Cls_Loss,Transfer_Loss,Total_Loss,Accuracy
0.0,0,3.438937695821126,0.16320486863454184,3.438937695821126,"tensor(0.0522, device='cuda:0', dtype=torch.float64)"
0.0,1,3.4153873602549236,0.16182322502136232,3.4153873602549236,"tensor(0.0763, device='cuda:0', dtype=torch.float64)"
0.0,2,3.395235236485799,0.16347987651824952,3.395235236485799,"tensor(0.0562, device='cuda:0', dtype=torch.float64)"
0.0,3,3.364729118347168,0.16322524547576905,3.364729118347168,"tensor(0.0723, device='cuda:0', dtype=torch.float64)"
0.0,4,3.3506080468495685,0.16285566488901773,3.3506080468495685,"tensor(0.1747, device='cuda:0', dtype=torch.float64)"
0.0,5,3.3271845976511636,0.16402348677317302,3.3271845976511636,"tensor(0.2108, device='cuda:0', dtype=torch.float64)"
0.0,6,3.3085099697113036,0.1628093719482422,3.3085099697113036,"tensor(0.3092, device='cuda:0', dtype=torch.float64)"
0.0,7,3.268980630238851,0.16228675842285156,3.268980630238851,"tensor(0.3333, device='cuda:0', dtype=torch.float64)"
0.0,8,3.239942121505737,0.16373926003774006,3.239942121505737,"tensor(0.2751, device='cuda:0', dtype=torch.float64)"
0.0,9,3.2101215521494546,0.16275138060251873,3.2101215521494546,"tensor(0.2691, device='cuda:0', dtype=torch.float64)"
0.0,10,3.175087881088257,0.16283989747365316,3.175087881088257,"tensor(0.2932, device='cuda:0', dtype=torch.float64)"
0.0,11,3.1702493031819663,0.1642688751220703,3.1702493031819663,"tensor(0.3133, device='cuda:0', dtype=torch.float64)"
0.0,12,3.1095333894093833,0.16195844014485677,3.1095333894093833,"tensor(0.4418, device='cuda:0', dtype=torch.float64)"
0.0,13,3.0570175806681315,0.1639129320780436,3.0570175806681315,"tensor(0.4438, device='cuda:0', dtype=torch.float64)"
0.0,14,2.961942783991496,0.16368912061055502,2.961942783991496,"tensor(0.3916, device='cuda:0', dtype=torch.float64)"
0.0,15,2.962189722061157,0.16745858987172443,2.962189722061157,"tensor(0.3394, device='cuda:0', dtype=torch.float64)"
0.0,16,2.8728742758433023,0.16264100074768068,2.8728742758433023,"tensor(0.4096, device='cuda:0', dtype=torch.float64)"
0.0,17,2.818118365605672,0.1638795852661133,2.818118365605672,"tensor(0.5181, device='cuda:0', dtype=torch.float64)"
0.0,18,2.78535525004069,0.16417192618052165,2.78535525004069,"tensor(0.5281, device='cuda:0', dtype=torch.float64)"
0.0,19,2.6661381562550863,0.1649283250172933,2.6661381562550863,"tensor(0.5562, device='cuda:0', dtype=torch.float64)"
0.0,20,2.661746788024902,0.16277249654134116,2.661746788024902,"tensor(0.5703, device='cuda:0', dtype=torch.float64)"
0.0,21,2.590019130706787,0.16356216271718343,2.590019130706787,"tensor(0.6124, device='cuda:0', dtype=torch.float64)"
0.0,22,2.479805040359497,0.1634559710820516,2.479805040359497,"tensor(0.5663, device='cuda:0', dtype=torch.float64)"
